Industry,Company,Domain,CDN_Providers,Multi_CDN,Confidence_Level,Confidence_Score,Detection_Methods,ASN_Detection,Reverse_DNS_Detection,IP_Detection,CNAME_Detection,Header_Detection,Status,Error,Timestamp
Energy & Utilities,ExxonMobil,exxonmobil.com,Akamai; Azure CDN,YES,high,0.95,"asn: Azure CDN,Akamai; cname: Akamai","Azure CDN: 172.190.140.10 (AS8075 - MICROSOFT-CORP-MSN-AS-BLOCK, US); 13.64.199.231 (AS8075 - MICROSOFT-CORP-MSN-AS-BLOCK, US); Akamai: 104.103.201.125 (AS16625 - AKAMAI-AS, US)",,,Akamai: www.exxonmobil.com.edgekey.net (matched: edgekey); e9138.a.akamaiedge.net (matched: akamai),,success,,2025-10-07T11:15:49.940596
Energy & Utilities,Chevron,chevron.com,Azure CDN,NO,high,0.95,asn: Azure CDN; ip: Azure CDN; cname: Azure CDN; headers: Azure CDN,"Azure CDN: 13.107.246.40 (AS8075 - MICROSOFT-CORP-MSN-AS-BLOCK, US); 13.107.213.40 (AS8075 - MICROSOFT-CORP-MSN-AS-BLOCK, US)",,"Azure CDN: 13.107.246.40, 13.107.213.40",Azure CDN: www-afd.azurefd.net (matched: azurefd); azurefd-t-prod.trafficmanager.net (matched: azurefd),Azure CDN: x-azure-ref: 20251007t101555z-17f68db94644rqh6hc1ltsb1dn000000017g000000008qdg,success,,2025-10-07T11:15:52.389560
Energy & Utilities,ConocoPhillips,conocophillips.com,Akamai,NO,high,0.95,asn: Akamai; ip: Akamai; cname: Akamai,"Akamai: 23.3.68.159 (AS20940 - AKAMAI-ASN1, NL); 23.3.68.146 (AS20940 - AKAMAI-ASN1, NL)",,"Akamai: 23.3.68.159, 23.3.68.146",Akamai: www.conocophillips.com.edgekey.net (matched: edgekey); e103501.dsca.akamaiedge.net (matched: akamai),,success,,2025-10-07T11:15:55.064522
Energy & Utilities,Duke Energy,duke-energy.com,Akamai,NO,high,0.95,asn: Akamai; ip: Akamai; cname: Akamai,"Akamai: 23.3.68.160 (AS20940 - AKAMAI-ASN1, NL); 23.3.68.154 (AS20940 - AKAMAI-ASN1, NL)",,"Akamai: 23.3.68.160, 23.3.68.154",Akamai: sitecore.edgekey.net (matched: edgekey); e224575.a.akamaiedge.net (matched: akamai),,success,,2025-10-07T11:15:57.901355
Energy & Utilities,NextEra Energy,nexteraenergy.com,AWS CloudFront; Google Cloud CDN,YES,high,0.95,asn: AWS CloudFront; reverse_dns: AWS CloudFront; ip: Google Cloud CDN; cname: AWS CloudFront; headers: AWS CloudFront,"AWS CloudFront: 54.236.212.102 (AS14618 - AMAZON-AES, US); 34.230.143.86 (AS16509 - AMAZON-02, US); 18.245.253.36 (AS16509 - AMAZON-02, US)",AWS CloudFront: 54.236.212.102 → ec2-54-236-212-102.compute-1.amazonaws.com; 34.230.143.86 → ec2-34-230-143-86.compute-1.amazonaws.com; 18.245.253.36 → server-18-245-253-36.lhr5.r.cloudfront.net,Google Cloud CDN: 34.230.143.86,AWS CloudFront: d1rtk7f9ktvvqf.cloudfront.net (matched: cloudfront),AWS CloudFront: x-amz-cf-pop: lhr5-p5,success,,2025-10-07T11:16:02.184103
Financial Services & Banking,JPMorgan Chase,jpmorganchase.com,Akamai,NO,high,0.80,ip: Akamai; cname: Akamai,,,"Akamai: 23.3.68.151, 23.3.68.140",Akamai: www.jpmorganchase.com.edgekey.net (matched: edgekey); e304256.a.akamaiedge.net (matched: akamai),,success,,2025-10-07T11:15:22.861197
Financial Services & Banking,JPMorgan,jpmorgan.com,Akamai,NO,high,0.80,ip: Akamai; cname: Akamai,,,"Akamai: 23.3.68.151, 23.3.68.140",Akamai: www.jpmorgan.com.edgekey.net (matched: edgekey); e304256.a.akamaiedge.net (matched: akamai),,success,,2025-10-07T11:15:25.396321
Financial Services & Banking,Chase,chase.com,Akamai,NO,high,0.80,ip: Akamai; cname: Akamai,,,"Akamai: 23.3.68.140, 23.3.68.159",Akamai: gtm.www.chase.com.akadns.net (matched: akadns); www.chase.com.edgekey.net (matched: edgekey); e129412.a.akamaiedge.net (matched: akamai),,success,,2025-10-07T11:15:26.780561
Financial Services & Banking,Bank of America,bankofamerica.com,Akamai,NO,high,0.95,asn: Akamai; ip: Akamai; cname: Akamai; headers: Akamai,"Akamai: 23.3.68.147 (AS20940 - AKAMAI-ASN1, NL)",,"Akamai: 23.3.68.147, 23.3.68.140",Akamai: www.bankofamerica.com.edgekey.net (matched: edgekey); e88506.a.akamaiedge.net (matched: akamai),"Akamai: akamai-request-bc: [a=23.3.15.12,b=543219893,c=g,n=gb_en_london,o=20940],[c=c,n=us_ny_newyork,o=20940],[a=104,c=o]",success,,2025-10-07T11:15:29.212607
Financial Services & Banking,Wells Fargo,wellsfargo.com,Akamai,NO,high,0.95,asn: Akamai; ip: Akamai; cname: Akamai,"Akamai: 23.1.228.181 (AS20940 - AKAMAI-ASN1, NL); 23.1.228.160 (AS20940 - AKAMAI-ASN1, NL); 23.1.228.186 (AS20940 - AKAMAI-ASN1, NL)",,"Akamai: 23.1.228.181, 23.1.228.160, 23.1.228.186, 23.1.228.194",Akamai: www.wellsfargo.com.edgekey.net (matched: edgekey); e82164.b.akamaiedge.net (matched: akamai),,success,,2025-10-07T11:15:32.670291
