Industry,Company,Domain,CDN_Providers,Multi_CDN,Confidence_Level,Confidence_Score,Detection_Methods,ASN_Detection,Reverse_DNS_Detection,IP_Detection,CNAME_Detection,Header_Detection,Status,Error,Timestamp
Financial Services & Banking,Citigroup,citigroup.com,Akamai,NO,high,0.95,asn: Akamai; ip: Akamai; cname: Akamai,"Akamai: 104.96.178.165 (AS33905 - AKAMAI-AMS, NL); 104.94.222.171 (AS33905 - AKAMAI-AMS, NL); 23.3.68.156 (AS20940 - AKAMAI-ASN1, NL)",,"Akamai: 23.3.68.156, 23.3.68.152",Akamai: www.citigroup.com.edgekey.net (matched: edgekey); e94533.a.akamaiedge.net (matched: akamai),,success,,2025-10-07T11:15:34.852829
Financial Services & Banking,Goldman Sachs,goldmansachs.com,AWS CloudFront; Akamai,YES,high,0.95,"asn: Akamai; cname: Akamai; headers: Akamai,AWS CloudFront","Akamai: 104.103.193.191 (AS16625 - AKAMAI-AS, US)",,,Akamai: www.gs.com.edgekey.net (matched: edgekey); e17133.x.akamaiedge.net (matched: akamai),Akamai: x-akamai-device-characteristics: ajax_preferred_geoloc_api=none;device_os=;device_os_version=;is_tablet=false;is_wireless_device=false2;mobile_browser=;mobile_browser_version=;physical_screen_height=400;physical_screen_width=400;resolution_height=600;resolution_width=800;viewport_initial_scale=;viewport_width=width_equals_max_image_width;is_mobile=false; x-akamai-device-characteristics: ajax_preferred_geoloc_api=none;device_os=;device_os_version=;is_tablet=false;is_wireless_device=false2;mobile_browser=;mobile_browser_version=;physical_screen_height=400;physical_screen_width=400;resolution_height=600;resolution_width=800;viewport_initial_scale=;viewport_width=width_equals_max_image_width;is_mobile=false; AWS CloudFront: x-amz-cf-pop: lhr50-p1,success,,2025-10-07T11:15:37.795837
Healthcare & Pharmaceuticals,UnitedHealth Group,unitedhealthgroup.com,Fastly,NO,high,0.95,asn: Fastly; ip: Fastly; cname: Fastly,"Fastly: 151.101.3.10 (AS54113 - FASTLY, US); 151.101.131.10 (AS54113 - FASTLY, US); 151.101.195.10 (AS54113 - FASTLY, US)",,"Fastly: 151.101.3.10, 151.101.131.10, 151.101.195.10, 151.101.67.10, 151.101.63.10",Fastly: adobe-aem.map.fastly.net (matched: fastly),,success,,2025-10-07T11:14:45.224844
Healthcare & Pharmaceuticals,CVS Health,cvshealth.com,Akamai; Fastly,YES,high,0.95,asn: Akamai; ip: Akamai; cname: Akamai; headers: Fastly,"Akamai: 23.53.175.222 (AS16625 - AKAMAI-AS, US)",,Akamai: 23.53.175.222,Akamai: www.cvshealth.com.edgekey.net (matched: edgekey); e4953.x.akamaiedge.net (matched: akamai),Fastly: fastly-surrogate-control: max-age=14400,success,,2025-10-07T11:14:47.958489
Healthcare & Pharmaceuticals,Johnson & Johnson,jnj.com,AWS CloudFront; Akamai,YES,high,0.95,"asn: AWS CloudFront,Akamai; cname: Akamai","AWS CloudFront: 13.248.160.137 (AS16509 - AMAZON-02, US); 76.223.34.124 (AS16509 - AMAZON-02, US); Akamai: 104.103.198.93 (AS16625 - AKAMAI-AS, US)",,,Akamai: www.jnj.com.edgekey.net (matched: edgekey); e16609.dsca.akamaiedge.net (matched: akamai),,success,,2025-10-07T11:14:49.492942
Healthcare & Pharmaceuticals,Pfizer,pfizer.com,Cloudflare,NO,high,0.95,asn: Cloudflare; ip: Cloudflare; cname: Cloudflare; headers: Cloudflare,"Cloudflare: 172.64.152.162 (AS13335 - CLOUDFLARENET, US); 104.18.35.94 (AS13335 - CLOUDFLARENET, US)",,"Cloudflare: 172.64.152.162, 104.18.35.94",Cloudflare: www.pfizer.com.cdn.cloudflare.net (matched: cloudflare),Cloudflare: cf-ray: 98aca25deb3c94c9-lhr; cf-cache-status: hit,success,,2025-10-07T11:14:52.545963
Healthcare & Pharmaceuticals,Cigna,cigna.com,AWS CloudFront,NO,medium,0.70,headers: AWS CloudFront,,,,,AWS CloudFront: x-amz-cf-pop: iad61-p10,success,,2025-10-07T11:14:54.427214
Payment Processing & Fintech,PayPal,paypal.com,Cloudflare; Fastly,YES,high,0.95,"asn: Fastly,Cloudflare; ip: Fastly,Cloudflare; cname: Cloudflare; headers: Cloudflare","Fastly: 151.101.3.1 (AS54113 - FASTLY, US); 151.101.195.1 (AS54113 - FASTLY, US); Cloudflare: 162.159.141.96 (AS13335 - CLOUDFLARENET, US)",,"Fastly: 151.101.3.1, 151.101.195.1; Cloudflare: 162.159.141.96, 104.18.7.168, 104.18.6.168",Cloudflare: www.paypal.com.cdn.cloudflare.net (matched: cloudflare),Cloudflare: cf-ray: 98aca37f3a0da49a-lhr; cf-cache-status: dynamic,success,,2025-10-07T11:15:38.695552
Payment Processing & Fintech,Visa,visa.com,Cloudflare,NO,high,0.95,asn: Cloudflare; ip: Cloudflare; cname: Cloudflare; headers: Cloudflare,"Cloudflare: 162.159.153.2 (AS13335 - CLOUDFLARENET, US); 162.159.152.2 (AS13335 - CLOUDFLARENET, US); 104.18.15.19 (AS13335 - CLOUDFLARENET, US)",,"Cloudflare: 162.159.153.2, 162.159.152.2, 104.18.15.19, 104.18.14.19",Cloudflare: www.visa.com.cdn.cloudflare.net (matched: cloudflare),Cloudflare: cf-ray: 98aca38d993a83df-lhr; cf-cache-status: hit,success,,2025-10-07T11:15:41.017696
Payment Processing & Fintech,Mastercard,mastercard.com,Akamai,NO,high,0.95,asn: Akamai; ip: Akamai; cname: Akamai,"Akamai: 23.59.64.194 (AS16625 - AKAMAI-AS, US)",,Akamai: 23.59.64.194,Akamai: www.mastercard.com.edgekey.net (matched: edgekey); e5188.x.akamaiedge.net (matched: akamai),,success,,2025-10-07T11:15:43.031607
Payment Processing & Fintech,Stripe,stripe.com,AWS CloudFront; Azure CDN; Google Cloud CDN,YES,high,0.95,"asn: AWS CloudFront; reverse_dns: AWS CloudFront; ip: Azure CDN,Google Cloud CDN","AWS CloudFront: 52.215.231.162 (AS16509 - AMAZON-02, US); 54.76.53.164 (AS16509 - AMAZON-02, US); 34.252.74.21 (AS16509 - AMAZON-02, US)",AWS CloudFront: 52.215.231.162 → ec2-52-215-231-162.eu-west-1.compute.amazonaws.com; 54.76.53.164 → ec2-54-76-53-164.eu-west-1.compute.amazonaws.com; 34.252.74.21 → ec2-34-252-74-21.eu-west-1.compute.amazonaws.com,Azure CDN: 52.215.231.162; Google Cloud CDN: 34.252.74.21,,,success,,2025-10-07T11:15:45.369379
Payment Processing & Fintech,Block (Square),block.xyz,Fastly,NO,high,0.95,asn: Fastly; ip: Fastly,"Fastly: 151.101.65.49 (AS54113 - FASTLY, US); 151.101.1.49 (AS54113 - FASTLY, US); 151.101.193.49 (AS54113 - FASTLY, US)",,"Fastly: 151.101.65.49, 151.101.1.49, 151.101.193.49, 151.101.129.49",,,success,,2025-10-07T11:15:48.410468
Retail & E-commerce,Walmart,walmart.com,Akamai,NO,high,0.95,asn: Akamai; ip: Akamai; cname: Akamai,"Akamai: 2.22.68.127 (AS16625 - AKAMAI-AS, US); 23.206.176.192 (AS16625 - AKAMAI-AS, US)",,"Akamai: 2.22.68.127, 23.206.176.192",Akamai: www.walmart.com.edgekey.net (matched: edgekey); e4373.x.akamaiedge.net (matched: akamai),,success,,2025-10-07T11:15:13.781279
Retail & E-commerce,Costco,costco.com,Akamai,NO,high,0.95,asn: Akamai; cname: Akamai,"Akamai: 173.222.9.167 (AS16625 - AKAMAI-AS, US)",,,Akamai: costco.com.edgekey.net (matched: edgekey); e11626.a.akamaiedge.net (matched: akamai),,success,,2025-10-07T11:15:16.645129
Retail & E-commerce,Home Depot,homedepot.com,Akamai; Google Cloud CDN,YES,high,0.95,"asn: Akamai; reverse_dns: Google Cloud CDN; ip: Google Cloud CDN,Akamai; cname: Akamai; headers: Akamai","Akamai: 23.206.178.137 (AS16625 - AKAMAI-AS, US)",Google Cloud CDN: 35.201.95.83 → 83.95.201.35.bc.googleusercontent.com,Google Cloud CDN: 35.201.95.83; Akamai: 23.206.178.137,Akamai: www.homedepot.com.edgekey.net (matched: edgekey); e14801.x.akamaiedge.net (matched: akamai),Akamai: akamai-grn: 0.1198645f.1759832120.19381d58; akamai-grn: 0.1198645f.1759832120.19381d58,success,,2025-10-07T11:15:18.077495
Retail & E-commerce,Target,target.com,Fastly,NO,high,0.95,asn: Fastly; ip: Fastly; cname: Fastly,"Fastly: 151.101.130.187 (AS54113 - FASTLY, US); 151.101.66.187 (AS54113 - FASTLY, US); 151.101.194.187 (AS54113 - FASTLY, US)",,"Fastly: 151.101.130.187, 151.101.66.187, 151.101.194.187, 151.101.2.187, 151.101.62.187",Fastly: sites.target.map.fastly.net (matched: fastly),,success,,2025-10-07T11:15:20.397543
Technology & Software,Apple,apple.com,Akamai,NO,high,0.95,asn: Akamai; cname: Akamai,"Akamai: 104.97.4.208 (AS16625 - AKAMAI-AS, US)",,,Akamai: www.apple.com.edgekey.net (matched: edgekey); e6858.dsce9.akamaiedge.net (matched: akamai),,success,,2025-10-07T11:14:57.574687
Technology & Software,Microsoft,microsoft.com,Akamai; Azure CDN,YES,high,0.95,"asn: Azure CDN,Akamai; ip: Azure CDN,Akamai; cname: Akamai; headers: Azure CDN","Azure CDN: 13.107.213.64 (AS8075 - MICROSOFT-CORP-MSN-AS-BLOCK, US); 13.107.246.64 (AS8075 - MICROSOFT-CORP-MSN-AS-BLOCK, US); Akamai: 23.37.198.101 (AS16625 - AKAMAI-AS, US)",,"Azure CDN: 13.107.213.64, 13.107.246.64; Akamai: 23.37.198.101",Akamai: www.microsoft.com-c-3.edgekey.net (matched: edgekey); www.microsoft.com-c-3.edgekey.net.globalredir.akadns.net (matched: akadns); e13678.dscb.akamaiedge.net (matched: akamai),Azure CDN: x-azure-ref: 20251007t101506z-17f68db94647wtp5hc1ltscpk000000001u000000000c1u0,success,,2025-10-07T11:15:04.494258
Technology & Software,Amazon,amazon.com,AWS CloudFront; Azure CDN,YES,high,0.95,"asn: AWS CloudFront; ip: Azure CDN,AWS CloudFront; cname: AWS CloudFront; headers: AWS CloudFront","AWS CloudFront: 52.94.236.248 (AS16509 - AMAZON-02, US); 54.239.28.85 (AS16509 - AMAZON-02, US); 205.251.242.103 (AS16509 - AMAZON-02, US)",,"Azure CDN: 52.94.236.248; AWS CloudFront: 54.239.28.85, 205.251.242.103",AWS CloudFront: d3ag4hukkh62yn.cloudfront.net (matched: cloudfront),AWS CloudFront: x-amz-cf-pop: lhr61-p2,success,,2025-10-07T11:15:06.742591
Technology & Software,Google,google.com,Google Cloud CDN,NO,high,0.95,asn: Google Cloud CDN; reverse_dns: Google Cloud CDN; ip: Google Cloud CDN,"Google Cloud CDN: 142.251.29.100 (AS15169 - GOOGLE, US); 142.251.29.139 (AS15169 - GOOGLE, US); 142.251.29.113 (AS15169 - GOOGLE, US)",Google Cloud CDN: 142.251.29.100 → uv-in-f100.1e100.net; 142.251.29.139 → uv-in-f139.1e100.net; 142.251.29.113 → uv-in-f113.1e100.net,"Google Cloud CDN: 142.250.129.147, 142.250.129.105, 142.250.129.106, 142.250.129.104, 142.250.129.103, 142.250.129.99",,,success,,2025-10-07T11:15:09.737080
Technology & Software,Meta,meta.com,Internal/Proprietary CDN,NO,medium,0.00,,,,,,,success,,2025-10-07T11:15:11.858000
Technology & Software,Amazon,amazon.com,AWS CloudFront; Azure CDN,YES,high,0.95,"asn: AWS CloudFront; ip: Azure CDN,AWS CloudFront; cname: AWS CloudFront; headers: AWS CloudFront","AWS CloudFront: 52.94.236.248 (AS16509 - AMAZON-02, US); 54.239.28.85 (AS16509 - AMAZON-02, US); 205.251.242.103 (AS16509 - AMAZON-02, US)",,"Azure CDN: 52.94.236.248; AWS CloudFront: 54.239.28.85, 205.251.242.103",AWS CloudFront: d3ag4hukkh62yn.cloudfront.net (matched: cloudfront),AWS CloudFront: x-amz-cf-pop: lhr61-p2,success,,2025-10-07T11:15:15.663012
