Industry,Company,Domain,CDN_Providers,Multi_CDN,Confidence_Level,Confidence_Score,Detection_Methods,ASN_Detection,Reverse_DNS_Detection,IP_Detection,CNAME_Detection,Header_Detection,Status,Error,Timestamp
Financial Services & Banking,Citigroup,citigroup.com,Akamai,NO,high,0.80,ip: Akamai; cname: Akamai,,,"Akamai: 23.3.68.152, 23.3.68.156",Akamai: www.citigroup.com.edgekey.net (matched: edgekey); e94533.a.akamaiedge.net (matched: akamai),,success,,2025-10-06T23:04:16.215373
Financial Services & Banking,Goldman Sachs,goldmansachs.com,AWS CloudFront; Akamai,YES,high,0.80,"ip: Akamai; cname: Akamai; headers: Akamai,AWS CloudFront",,,"Akamai: 23.45.101.32, 23.64.25.74",Akamai: www.gs.com.edgekey.net (matched: edgekey); e17133.x.akamaiedge.net (matched: akamai),Akamai: x-akamai-device-characteristics: ajax_preferred_geoloc_api=none;device_os=;device_os_version=;is_tablet=false;is_wireless_device=false2;mobile_browser=;mobile_browser_version=;physical_screen_height=400;physical_screen_width=400;resolution_height=600;resolution_width=800;viewport_initial_scale=;viewport_width=width_equals_max_image_width;is_mobile=false; x-akamai-device-characteristics: ajax_preferred_geoloc_api=none;device_os=;device_os_version=;is_tablet=false;is_wireless_device=false2;mobile_browser=;mobile_browser_version=;physical_screen_height=400;physical_screen_width=400;resolution_height=600;resolution_width=800;viewport_initial_scale=;viewport_width=width_equals_max_image_width;is_mobile=false; AWS CloudFront: x-amz-cf-pop: lhr50-p1,success,,2025-10-06T23:04:21.526848
Healthcare & Pharmaceuticals,UnitedHealth Group,unitedhealthgroup.com,Fastly,NO,high,0.80,ip: Fastly; cname: Fastly,,,"Fastly: 151.101.195.10, 151.101.3.10, 151.101.67.10, 151.101.131.10, 199.232.55.10",Fastly: adobe-aem.map.fastly.net (matched: fastly),,success,,2025-10-06T23:02:44.337248
Healthcare & Pharmaceuticals,CVS Health,cvshealth.com,Akamai; Fastly,YES,high,0.95,asn: Akamai; ip: Akamai; cname: Akamai; headers: Fastly,Akamai: 95.101.247.72 (AS16625 - ),,Akamai: 23.64.26.224,Akamai: www.cvshealth.com.edgekey.net (matched: edgekey); e4953.x.akamaiedge.net (matched: akamai),Fastly: fastly-surrogate-control: max-age=14400,success,,2025-10-06T23:02:59.199050
Healthcare & Pharmaceuticals,Johnson & Johnson,jnj.com,Akamai,NO,high,0.80,ip: Akamai; cname: Akamai,,,Akamai: 23.63.86.194,Akamai: www.jnj.com.edgekey.net (matched: edgekey); e16609.dsca.akamaiedge.net (matched: akamai),,success,,2025-10-06T23:03:05.758106
Healthcare & Pharmaceuticals,Pfizer,pfizer.com,Cloudflare,NO,high,0.80,ip: Cloudflare; cname: Cloudflare; headers: Cloudflare,,,"Cloudflare: 104.18.35.94, 172.64.152.162",Cloudflare: www.pfizer.com.cdn.cloudflare.net (matched: cloudflare),Cloudflare: cf-ray: 98a8728afe57cca6-man; cf-cache-status: hit,success,,2025-10-06T23:03:10.132444
Healthcare & Pharmaceuticals,Cigna,cigna.com,AWS CloudFront,NO,medium,0.70,headers: AWS CloudFront,,,,,AWS CloudFront: x-amz-cf-pop: iad61-p10,success,,2025-10-06T23:03:12.433414
Payment Processing & Fintech,PayPal,paypal.com,Cloudflare; Fastly,YES,high,0.80,"ip: Fastly,Cloudflare; cname: Fastly",,,"Fastly: 151.101.3.1, 151.101.195.1, 199.232.53.21; Cloudflare: 162.159.141.96",Fastly: paypal-dynamic.map.fastly.net (matched: fastly),,success,,2025-10-06T23:04:28.481256
Payment Processing & Fintech,Visa,visa.com,Cloudflare,NO,high,0.80,ip: Cloudflare; cname: Cloudflare; headers: Cloudflare,,,"Cloudflare: 162.159.152.2, 162.159.153.2, 104.18.14.19, 104.18.15.19",Cloudflare: www.visa.com.cdn.cloudflare.net (matched: cloudflare),Cloudflare: cf-ray: 98a874c6d9a60c6e-man; cf-cache-status: hit,success,,2025-10-06T23:04:38.437290
Payment Processing & Fintech,Mastercard,mastercard.com,Akamai,NO,high,0.95,asn: Akamai; cname: Akamai,Akamai: 95.101.248.49 (AS16625 - ),,,Akamai: www.mastercard.com.edgekey.net (matched: edgekey); e5188.x.akamaiedge.net (matched: akamai),,success,,2025-10-06T23:04:43.936499
Payment Processing & Fintech,Stripe,stripe.com,AWS CloudFront; Azure CDN; Google Cloud CDN,YES,high,0.85,"reverse_dns: AWS CloudFront; ip: Google Cloud CDN,Azure CDN",,AWS CloudFront: 54.76.53.164 → ec2-54-76-53-164.eu-west-1.compute.amazonaws.com; 34.252.74.21 → ec2-34-252-74-21.eu-west-1.compute.amazonaws.com; 52.215.231.162 → ec2-52-215-231-162.eu-west-1.compute.amazonaws.com,Google Cloud CDN: 34.252.74.21; Azure CDN: 52.215.231.162,,,success,,2025-10-06T23:04:47.451941
Payment Processing & Fintech,Block (Square),block.xyz,Fastly,NO,low,0.40,ip: Fastly,,,"Fastly: 151.101.129.49, 151.101.65.49, 151.101.193.49, 151.101.1.49",,,success,,2025-10-06T23:04:53.517490
Retail & E-commerce,Walmart,walmart.com,Akamai,NO,high,0.95,asn: Akamai; ip: Akamai; cname: Akamai,Akamai: 2.18.101.167 (AS16625 - ),,"Akamai: 2.18.101.167, 23.219.193.182",Akamai: www.walmart.com.edgekey.net (matched: edgekey); e4373.x.akamaiedge.net (matched: akamai),,success,,2025-10-06T23:03:33.136696
Retail & E-commerce,Costco,costco.com,Akamai,NO,high,0.95,asn: Akamai; ip: Akamai; cname: Akamai,Akamai: 2.23.149.155 (AS16625 - ),,"Akamai: 2.23.149.155, 23.214.210.17",Akamai: costco.com.edgekey.net (matched: edgekey); e11626.a.akamaiedge.net (matched: akamai),,success,,2025-10-06T23:03:39.591107
Retail & E-commerce,Home Depot,homedepot.com,Akamai; Google Cloud CDN,YES,high,0.85,"reverse_dns: Google Cloud CDN; ip: Google Cloud CDN,Akamai; cname: Akamai; headers: Akamai",,Google Cloud CDN: 35.201.95.83 → 83.95.201.35.bc.googleusercontent.com,Google Cloud CDN: 35.201.95.83; Akamai: 23.206.178.137,Akamai: www.homedepot.com.edgekey.net (matched: edgekey); e14801.x.akamaiedge.net (matched: akamai),Akamai: akamai-grn: 0.1198645f.1759788225.175f72f0; akamai-grn: 0.1198645f.1759788225.175f72f0,success,,2025-10-06T23:03:42.082663
Retail & E-commerce,Target,target.com,Fastly,NO,high,0.80,ip: Fastly; cname: Fastly,,,"Fastly: 151.101.66.187, 151.101.194.187, 151.101.2.187, 151.101.130.187, 199.232.54.187",Fastly: sites.target.map.fastly.net (matched: fastly),,success,,2025-10-06T23:03:45.208410
Technology & Software,Apple,apple.com,Akamai,NO,high,0.95,asn: Akamai; ip: Akamai; cname: Akamai,Akamai: 2.19.0.204 (AS16625 - ),,Akamai: 2.19.0.204,Akamai: www.apple.com.edgekey.net (matched: edgekey); e6858.dsce9.akamaiedge.net (matched: akamai),,success,,2025-10-06T23:03:17.965789
Technology & Software,Microsoft,microsoft.com,Akamai; Azure CDN,YES,high,0.95,asn: Akamai; ip: Azure CDN; cname: Akamai; headers: Azure CDN,Akamai: 92.123.241.137 (AS16625 - ),,"Azure CDN: 13.107.213.64, 13.107.246.64","Akamai: www.microsoft.com-c-3.edgekey.net.
www.microsoft.com-c-3.edgekey.net.globalredir.akadns.net.
e13678.dscb.akamaiedge.net (matched: akamai)",Azure CDN: x-azure-ref: 20251006t220323z-17b47f46bf8z587rhc1lon0qzc00000003w000000000vne9,success,,2025-10-06T23:03:21.327935
Technology & Software,Amazon,amazon.com,AWS CloudFront; Akamai; Azure CDN,YES,high,0.80,"ip: AWS CloudFront,Azure CDN,Akamai; cname: Akamai",,,"AWS CloudFront: 54.239.28.85, 205.251.242.103; Azure CDN: 52.94.236.248; Akamai: 2.23.149.236",Akamai: www.amazon.com.edgekey.net (matched: edgekey); e15316.dsca.akamaiedge.net (matched: akamai),,success,,2025-10-06T23:03:23.999972
Technology & Software,Google,google.com,Google Cloud CDN,NO,high,0.85,reverse_dns: Google Cloud CDN,,Google Cloud CDN: 142.251.29.101 → uv-in-f101.1e100.net; 142.251.29.102 → uv-in-f102.1e100.net; 142.251.29.139 → uv-in-f139.1e100.net,,,,success,,2025-10-06T23:03:27.633108
Technology & Software,Meta,meta.com,Internal/Proprietary CDN,NO,medium,0.00,,,,,,,success,,2025-10-06T23:03:30.946549
Technology & Software,Amazon,amazon.com,AWS CloudFront; Akamai; Azure CDN,YES,high,0.80,"ip: Azure CDN,AWS CloudFront,Akamai; cname: Akamai",,,"Azure CDN: 52.94.236.248; AWS CloudFront: 205.251.242.103, 54.239.28.85; Akamai: 2.23.149.236",Akamai: www.amazon.com.edgekey.net (matched: edgekey); e15316.dsca.akamaiedge.net (matched: akamai),,success,,2025-10-06T23:03:35.490866
