Industry,Company,Domain,CDN_Providers,Multi_CDN,Confidence_Level,Confidence_Score,Detection_Methods,ASN_Detection,Reverse_DNS_Detection,IP_Detection,CNAME_Detection,Header_Detection,Status,Error,Timestamp
Energy & Utilities,ExxonMobil,exxonmobil.com,Akamai,NO,high,0.80,cname: Akamai,,,,Akamai: www.exxonmobil.com.edgekey.net (matched: edgekey); e9138.a.akamaiedge.net (matched: akamai),,success,,2025-10-06T23:04:58.369738
Energy & Utilities,Chevron,chevron.com,Azure CDN,NO,high,0.80,ip: Azure CDN; cname: Azure CDN; headers: Azure CDN,,,"Azure CDN: 13.107.246.65, 13.107.213.65","Azure CDN: www-afd.azurefd.net (matched: azurefd); ;; communications error to 192.168.0.1#53: timed out
azurefd-t-prod.trafficmanager.net (matched: azurefd)",Azure CDN: x-azure-ref: 20251006t220515z-17b47f46bf8642qphc1lonk4540000000m2g00000000csvq,success,,2025-10-06T23:05:03.939990
Energy & Utilities,ConocoPhillips,conocophillips.com,Akamai,NO,high,0.95,asn: Akamai; ip: Akamai; cname: Akamai,Akamai: 95.100.104.8 (AS20940 - ); 95.100.104.10 (AS20940 - ),,"Akamai: 95.100.104.8, 95.100.104.10",Akamai: www.conocophillips.com.edgekey.net (matched: edgekey); e103501.dsca.akamaiedge.net (matched: akamai),,success,,2025-10-06T23:05:15.136340
Energy & Utilities,Duke Energy,duke-energy.com,Akamai,NO,high,0.95,asn: Akamai; ip: Akamai; cname: Akamai,Akamai: 95.100.104.27 (AS20940 - ); 95.100.104.20 (AS20940 - ),,"Akamai: 95.100.104.27, 95.100.104.20",Akamai: sitecore.edgekey.net (matched: edgekey); e224575.a.akamaiedge.net (matched: akamai),,success,,2025-10-06T23:05:20.677983
Energy & Utilities,NextEra Energy,nexteraenergy.com,AWS CloudFront; Google Cloud CDN,YES,high,0.85,reverse_dns: AWS CloudFront; ip: Google Cloud CDN; cname: AWS CloudFront; headers: AWS CloudFront,,AWS CloudFront: 54.236.212.102 → ec2-54-236-212-102.compute-1.amazonaws.com; 34.230.143.86 → ec2-34-230-143-86.compute-1.amazonaws.com; 3.165.148.58 → server-3-165-148-58.man51.r.cloudfront.net,Google Cloud CDN: 34.230.143.86,AWS CloudFront: d1rtk7f9ktvvqf.cloudfront.net (matched: cloudfront),AWS CloudFront: x-amz-cf-pop: man51-p4,success,,2025-10-06T23:05:25.374957
Financial Services & Banking,JPMorgan Chase,jpmorganchase.com,Akamai,NO,high,0.80,ip: Akamai; cname: Akamai,,,"Akamai: 23.3.68.151, 23.3.68.140",Akamai: www.jpmorganchase.com.edgekey.net (matched: edgekey); e304256.a.akamaiedge.net (matched: akamai),,success,,2025-10-06T23:03:50.154854
Financial Services & Banking,JPMorgan,jpmorgan.com,Akamai,NO,high,0.80,ip: Akamai; cname: Akamai,,,"Akamai: 23.3.68.140, 23.3.68.151",Akamai: www.jpmorgan.com.edgekey.net (matched: edgekey); e304256.a.akamaiedge.net (matched: akamai),,success,,2025-10-06T23:03:57.069797
Financial Services & Banking,Chase,chase.com,Akamai,NO,high,0.80,ip: Akamai; cname: Akamai,,,"Akamai: 88.221.87.208, 2.22.228.242",Akamai: gtm.www.chase.com.akadns.net (matched: akadns); www.chase.com.edgekey.net (matched: edgekey); e129412.a.akamaiedge.net (matched: akamai),,success,,2025-10-06T23:04:00.595014
Financial Services & Banking,Bank of America,bankofamerica.com,Akamai,NO,high,0.95,asn: Akamai; ip: Akamai; cname: Akamai; headers: Akamai,Akamai: 2.21.15.66 (AS20940 - ),,"Akamai: 2.21.15.66, 2.21.15.65",Akamai: www.bankofamerica.com.edgekey.net (matched: edgekey); e88506.a.akamaiedge.net (matched: akamai),"Akamai: akamai-request-bc: [a=2.21.15.61,b=274296539,c=g,n=gb_en_manchester,o=20940],[c=c,n=us_tx_dallas,o=20940],[a=104,c=o]",success,,2025-10-06T23:04:07.732165
Financial Services & Banking,Wells Fargo,wellsfargo.com,Akamai,NO,high,0.95,asn: Akamai; ip: Akamai; cname: Akamai,Akamai: 2.18.63.13 (AS20940 - ),,"Akamai: 104.77.161.91, 104.77.161.84, 2.18.63.13, 2.18.63.63",Akamai: www.wellsfargo.com.edgekey.net (matched: edgekey); e82164.b.akamaiedge.net (matched: akamai),,success,,2025-10-06T23:04:11.992819
