Industry,Company,Domain,CDN_Providers,Multi_CDN,Confidence_Level,Confidence_Score,Detection_Methods,ASN_Detection,Reverse_DNS_Detection,IP_Detection,CNAME_Detection,Header_Detection,Status,Error,Timestamp
Energy & Utilities,ExxonMobil,exxonmobil.com,Akamai,NO,high,0.80,cname: Akamai,,,,Akamai: www.exxonmobil.com.edgekey.net (matched: edgekey); e9138.a.akamaiedge.net (matched: akamai),,success,,2025-10-06T22:42:57.919117
Energy & Utilities,Chevron,chevron.com,Azure CDN,NO,high,0.80,ip: Azure CDN; cname: Azure CDN; headers: Azure CDN,,,"Azure CDN: 13.107.246.64, 13.107.213.64",Azure CDN: www-afd.azurefd.net (matched: azurefd); azurefd-t-prod.trafficmanager.net (matched: azurefd),Azure CDN: x-azure-ref: 20251006t214306z-179bf966c7f7tlblhc1lonen8c00000004p000000000hr7h,success,,2025-10-06T22:43:02.087414
Energy & Utilities,ConocoPhillips,conocophillips.com,Akamai,NO,high,0.80,ip: Akamai; cname: Akamai,,,"Akamai: 23.3.68.146, 23.3.68.159",Akamai: www.conocophillips.com.edgekey.net (matched: edgekey); e103501.dsca.akamaiedge.net (matched: akamai),,success,,2025-10-06T22:43:06.353717
Energy & Utilities,Duke Energy,duke-energy.com,Akamai,NO,high,0.95,asn: Akamai; ip: Akamai; cname: Akamai,Akamai: 95.100.104.27 (AS20940 - ); 95.100.104.20 (AS20940 - ),,"Akamai: 95.100.104.27, 95.100.104.20",Akamai: sitecore.edgekey.net (matched: edgekey); e224575.a.akamaiedge.net (matched: akamai),,success,,2025-10-06T22:43:10.400995
Energy & Utilities,NextEra Energy,nexteraenergy.com,AWS CloudFront; Google Cloud CDN,YES,high,0.85,reverse_dns: AWS CloudFront; ip: Google Cloud CDN; cname: AWS CloudFront; headers: AWS CloudFront,,AWS CloudFront: 54.236.212.102 → ec2-54-236-212-102.compute-1.amazonaws.com; 34.230.143.86 → ec2-34-230-143-86.compute-1.amazonaws.com; 3.165.148.58 → server-3-165-148-58.man51.r.cloudfront.net,Google Cloud CDN: 34.230.143.86,AWS CloudFront: d1rtk7f9ktvvqf.cloudfront.net (matched: cloudfront),AWS CloudFront: x-amz-cf-pop: man51-p4,success,,2025-10-06T22:43:16.792675
Financial Services & Banking,JPMorgan Chase,jpmorganchase.com,Akamai,NO,high,0.80,ip: Akamai; cname: Akamai,,,"Akamai: 95.100.104.33, 95.100.104.6",Akamai: www.jpmorganchase.com.edgekey.net (matched: edgekey); e304256.a.akamaiedge.net (matched: akamai),,success,,2025-10-06T22:42:14.555962
Financial Services & Banking,JPMorgan,jpmorgan.com,Akamai,NO,high,0.80,ip: Akamai; cname: Akamai,,,"Akamai: 95.100.104.6, 95.100.104.33",Akamai: www.jpmorgan.com.edgekey.net (matched: edgekey); e304256.a.akamaiedge.net (matched: akamai),,success,,2025-10-06T22:42:18.732580
Financial Services & Banking,Chase,chase.com,Akamai,NO,high,0.80,ip: Akamai; cname: Akamai,,,"Akamai: 23.48.165.96, 23.48.165.70",Akamai: gtm.www.chase.com.akadns.net (matched: akadns); www.chase.com.edgekey.net (matched: edgekey); e129412.a.akamaiedge.net (matched: akamai),,success,,2025-10-06T22:42:22.596604
Financial Services & Banking,Bank of America,bankofamerica.com,Akamai,NO,high,0.80,ip: Akamai; cname: Akamai; headers: Akamai,,,"Akamai: 23.3.68.140, 23.3.68.147",Akamai: www.bankofamerica.com.edgekey.net (matched: edgekey); e88506.a.akamaiedge.net (matched: akamai),"Akamai: akamai-request-bc: [a=23.3.15.12,b=475757379,c=g,n=gb_en_london,o=20940],[c=c,n=us_ga_atlanta,o=20940],[a=104,c=o]",success,,2025-10-06T22:42:26.686080
Financial Services & Banking,Wells Fargo,wellsfargo.com,Akamai,NO,high,0.95,asn: Akamai; ip: Akamai; cname: Akamai,Akamai: 2.22.228.209 (AS20940 - ); 2.22.228.186 (AS20940 - ); 2.18.63.63 (AS20940 - ),,"Akamai: 2.22.228.209, 2.22.228.186, 2.18.63.63, 2.18.63.13",Akamai: www.wellsfargo.com.edgekey.net (matched: edgekey); e82164.b.akamaiedge.net (matched: akamai),,success,,2025-10-06T22:42:30.843115
Financial Services & Banking,Citigroup,citigroup.com,Akamai,NO,high,0.95,asn: Akamai; ip: Akamai; cname: Akamai,Akamai: 95.100.104.13 (AS20940 - ),,"Akamai: 95.100.104.13, 95.100.104.35",Akamai: www.citigroup.com.edgekey.net (matched: edgekey); e94533.a.akamaiedge.net (matched: akamai),,success,,2025-10-06T22:42:34.212015
Financial Services & Banking,Goldman Sachs,goldmansachs.com,AWS CloudFront; Akamai,YES,high,0.80,"ip: Akamai; cname: Akamai; headers: Akamai,AWS CloudFront",,,Akamai: 23.63.88.65,Akamai: www.gs.com.edgekey.net (matched: edgekey); e17133.x.akamaiedge.net (matched: akamai),Akamai: x-akamai-device-characteristics: ajax_preferred_geoloc_api=none;device_os=;device_os_version=;is_tablet=false;is_wireless_device=false2;mobile_browser=;mobile_browser_version=;physical_screen_height=400;physical_screen_width=400;resolution_height=600;resolution_width=800;viewport_initial_scale=;viewport_width=width_equals_max_image_width;is_mobile=false; x-akamai-device-characteristics: ajax_preferred_geoloc_api=none;device_os=;device_os_version=;is_tablet=false;is_wireless_device=false2;mobile_browser=;mobile_browser_version=;physical_screen_height=400;physical_screen_width=400;resolution_height=600;resolution_width=800;viewport_initial_scale=;viewport_width=width_equals_max_image_width;is_mobile=false; AWS CloudFront: x-amz-cf-pop: lhr50-p1,success,,2025-10-06T22:42:37.942087
Healthcare & Pharmaceuticals,UnitedHealth Group,unitedhealthgroup.com,Fastly,NO,high,0.80,ip: Fastly; cname: Fastly,,,"Fastly: 151.101.195.10, 151.101.3.10, 151.101.67.10, 151.101.131.10, 199.232.55.10",Fastly: adobe-aem.map.fastly.net (matched: fastly),,success,,2025-10-06T22:41:21.809952
Healthcare & Pharmaceuticals,CVS Health,cvshealth.com,Akamai; Fastly,YES,high,0.95,asn: Akamai; ip: Akamai; cname: Akamai; headers: Fastly,Akamai: 95.101.247.72 (AS16625 - ),,Akamai: 23.64.26.224,Akamai: www.cvshealth.com.edgekey.net (matched: edgekey); e4953.x.akamaiedge.net (matched: akamai),Fastly: fastly-surrogate-control: max-age=14400,success,,2025-10-06T22:41:30.534979
