Industry,Company,Domain,CDN_Providers,Multi_CDN,Detection_Methods,IP_Detection,CNAME_Detection,Header_Detection,Status,Error,Timestamp
Energy & Utilities,ExxonMobil,exxonmobil.com,Akamai,NO,cname: Akamai,,Akamai: www.exxonmobil.com.edgekey.net (matched: edgekey); e9138.a.akamaiedge.net (matched: akamai),,success,,2025-10-06T22:09:02.865886
Energy & Utilities,Chevron,chevron.com,Azure CDN,NO,ip: Azure CDN,"Azure CDN: 13.107.213.64, 13.107.246.64",,,success,,2025-10-06T22:09:03.500859
Energy & Utilities,ConocoPhillips,conocophillips.com,Akamai,NO,cname: Akamai,,Akamai: www.conocophillips.com.edgekey.net (matched: edgekey); e103501.dsca.akamaiedge.net (matched: akamai),,success,,2025-10-06T22:09:04.475542
Energy & Utilities,Duke Energy,duke-energy.com,Akamai,NO,cname: Akamai,,Akamai: sitecore.edgekey.net (matched: edgekey); e224575.a.akamaiedge.net (matched: akamai),,success,,2025-10-06T22:09:05.237214
Energy & Utilities,NextEra Energy,nexteraenergy.com,AWS CloudFront; Google Cloud CDN,YES,ip: Google Cloud CDN; cname: AWS CloudFront,Google Cloud CDN: 34.230.143.86,AWS CloudFront: d1rtk7f9ktvvqf.cloudfront.net (matched: cloudfront),,success,,2025-10-06T22:09:06.036578
Financial Services & Banking,JPMorgan Chase,jpmorganchase.com,Akamai,NO,cname: Akamai,,Akamai: www.jpmorganchase.com.edgekey.net (matched: edgekey); e304256.a.akamaiedge.net (matched: akamai),,success,,2025-10-06T22:08:55.636515
Financial Services & Banking,JPMorgan,jpmorgan.com,Akamai,NO,ip: Akamai; cname: Akamai,"Akamai: 2.22.228.187, 2.22.228.169",Akamai: www.jpmorgan.com.edgekey.net (matched: edgekey); e304256.a.akamaiedge.net (matched: akamai),,success,,2025-10-06T22:08:56.449799
Financial Services & Banking,Chase,chase.com,Akamai,NO,ip: Akamai; cname: Akamai,"Akamai: 23.3.68.159, 23.3.68.140",Akamai: www.chase.com.edgekey.net (matched: edgekey); e129412.a.akamaiedge.net (matched: akamai),,success,,2025-10-06T22:08:56.992723
Financial Services & Banking,Bank of America,bankofamerica.com,Akamai,NO,cname: Akamai,,Akamai: www.bankofamerica.com.edgekey.net (matched: edgekey); e88506.a.akamaiedge.net (matched: akamai),,success,,2025-10-06T22:08:57.599961
Financial Services & Banking,Wells Fargo,wellsfargo.com,Akamai,NO,ip: Akamai; cname: Akamai,"Akamai: 2.19.248.216, 2.19.248.222",Akamai: www.wellsfargo.com.edgekey.net (matched: edgekey); e82164.b.akamaiedge.net (matched: akamai),,success,,2025-10-06T22:08:58.422218
Financial Services & Banking,Citigroup,citigroup.com,Akamai,NO,cname: Akamai,,Akamai: www.citigroup.com.edgekey.net (matched: edgekey); e94533.a.akamaiedge.net (matched: akamai),,success,,2025-10-06T22:08:58.674423
Financial Services & Banking,Goldman Sachs,goldmansachs.com,Akamai,NO,cname: Akamai; headers: Akamai,,Akamai: www.gs.com.edgekey.net (matched: edgekey); e17133.x.akamaiedge.net (matched: akamai),Akamai: x-akamai-device-characteristics: ajax_preferred_geoloc_api=none;device_os=;device_os_version=;is_tablet=false;is_wireless_device=false2;mobile_browser=;mobile_browser_version=;physical_screen_height=400;physical_screen_width=400;resolution_height=600;resolution_width=800;viewport_initial_scale=;viewport_width=width_equals_max_image_width;is_mobile=false; x-akamai-device-characteristics: ajax_preferred_geoloc_api=none;device_os=;device_os_version=;is_tablet=false;is_wireless_device=false2;mobile_browser=;mobile_browser_version=;physical_screen_height=400;physical_screen_width=400;resolution_height=600;resolution_width=800;viewport_initial_scale=;viewport_width=width_equals_max_image_width;is_mobile=false,success,,2025-10-06T22:09:00.249330
Healthcare & Pharmaceuticals,UnitedHealth Group,unitedhealthgroup.com,Fastly,NO,ip: Fastly; cname: Fastly,"Fastly: 151.101.195.10, 151.101.3.10, 151.101.67.10, 151.101.131.10, 199.232.55.10",Fastly: adobe-aem.map.fastly.net (matched: fastly),,success,,2025-10-06T22:08:48.275733
Healthcare & Pharmaceuticals,CVS Health,cvshealth.com,Akamai,NO,ip: Akamai; cname: Akamai,Akamai: 23.64.26.224,Akamai: www.cvshealth.com.edgekey.net (matched: edgekey); e4953.x.akamaiedge.net (matched: akamai),,success,,2025-10-06T22:08:48.981556
Healthcare & Pharmaceuticals,Johnson & Johnson,jnj.com,Akamai,NO,cname: Akamai,,Akamai: www.jnj.com.edgekey.net (matched: edgekey); e16609.dsca.akamaiedge.net (matched: akamai),,success,,2025-10-06T22:08:49.313786
Healthcare & Pharmaceuticals,Pfizer,pfizer.com,Cloudflare,NO,ip: Cloudflare; cname: Cloudflare; headers: Cloudflare,"Cloudflare: 172.64.152.162, 104.18.35.94",Cloudflare: www.pfizer.com.cdn.cloudflare.net (matched: cloudflare),Cloudflare: cf-ray: 98a822e57e96f44b-man,success,,2025-10-06T22:08:49.931640
Healthcare & Pharmaceuticals,Cigna,cigna.com,Direct/Origin Server,NO,,,,,success,,2025-10-06T22:08:50.184753
Payment Processing & Fintech,PayPal,paypal.com,Cloudflare; Fastly,YES,"ip: Cloudflare,Fastly; cname: Fastly; headers: Cloudflare","Cloudflare: 162.159.141.96; Fastly: 151.101.3.1, 151.101.195.1, 199.232.53.21",Fastly: paypal-dynamic.map.fastly.net (matched: fastly),Cloudflare: cf-ray: 98a82328bab6d1f9-lhr,success,,2025-10-06T22:09:00.642043
Payment Processing & Fintech,Visa,visa.com,Cloudflare,NO,ip: Cloudflare; cname: Cloudflare; headers: Cloudflare,"Cloudflare: 162.159.153.2, 162.159.152.2, 104.18.14.19, 104.18.15.19",Cloudflare: www.visa.com.cdn.cloudflare.net (matched: cloudflare),Cloudflare: cf-ray: 98a8232ae893b556-lhr,success,,2025-10-06T22:09:00.943827
Payment Processing & Fintech,Mastercard,mastercard.com,Akamai,NO,ip: Akamai; cname: Akamai,Akamai: 23.64.27.194,Akamai: www.mastercard.com.edgekey.net (matched: edgekey); e5188.x.akamaiedge.net (matched: akamai),,success,,2025-10-06T22:09:01.299307
Payment Processing & Fintech,Stripe,stripe.com,Azure CDN,NO,ip: Azure CDN,"Azure CDN: 52.49.17.168, 52.30.58.64",,,success,,2025-10-06T22:09:02.067386
Payment Processing & Fintech,Block (Square),block.xyz,Fastly,NO,ip: Fastly,"Fastly: 151.101.65.49, 151.101.193.49, 151.101.1.49, 151.101.129.49",,,success,,2025-10-06T22:09:02.633797
Retail & E-commerce,Walmart,walmart.com,Akamai,NO,ip: Akamai; cname: Akamai,"Akamai: 23.217.4.243, 23.206.176.192",Akamai: www.walmart.com.edgekey.net (matched: edgekey); e4373.x.akamaiedge.net (matched: akamai),,success,,2025-10-06T22:08:53.068140
Retail & E-commerce,Costco,costco.com,Akamai,NO,ip: Akamai; cname: Akamai,"Akamai: 2.23.149.155, 23.214.210.17",Akamai: costco.com.edgekey.net (matched: edgekey); e11626.a.akamaiedge.net (matched: akamai),,success,,2025-10-06T22:08:54.443066
Retail & E-commerce,Home Depot,homedepot.com,Akamai; Google Cloud CDN,YES,"ip: Google Cloud CDN,Akamai; cname: Akamai",Google Cloud CDN: 35.201.95.83; Akamai: 2.22.69.145,Akamai: www.homedepot.com.edgekey.net (matched: edgekey); e14801.x.akamaiedge.net (matched: akamai),,success,,2025-10-06T22:08:54.961769
Retail & E-commerce,Target,target.com,Fastly,NO,ip: Fastly; cname: Fastly,"Fastly: 151.101.130.187, 151.101.66.187, 151.101.194.187, 151.101.2.187, 199.232.54.187",Fastly: sites.target.map.fastly.net (matched: fastly),,success,,2025-10-06T22:08:55.434413
Technology & Software,Apple,apple.com,Akamai,NO,ip: Akamai; cname: Akamai,Akamai: 2.19.0.204,Akamai: www.apple.com.edgekey.net (matched: edgekey); e6858.dsce9.akamaiedge.net (matched: akamai),,success,,2025-10-06T22:08:51.075164
Technology & Software,Microsoft,microsoft.com,Akamai; Azure CDN,YES,"ip: Azure CDN,Akamai; cname: Akamai; headers: Azure CDN","Azure CDN: 13.107.246.64, 13.107.213.64; Akamai: 23.37.198.101","Akamai: www.microsoft.com-c-3.edgekey.net.
www.microsoft.com-c-3.edgekey.net.globalredir.akadns.net.
e13678.dscb.akamaiedge.net (matched: akamai)",Azure CDN: x-azure-ref: 20251006t210851z-17b47f46bf8rwrvvhc1loncc6c00000004g000000000t2md,success,,2025-10-06T22:08:51.483230
